statecode,county,eq_site_limit,hu_site_limit,fl_site_limit
FL,COLUMBIA COUNTY,0,10171.26,0
FL,COLUMBIA COUNTY,0,155342.88,0
FL,COLUMBIA COUNTY,0,3698.64,0
FL,COLUMBIA COUNTY,0,4623.3,0
FL,COLUMBIA COUNTY,0,33287.76,0
FL,COLUMBIA COUNTY,0,21267.18,0
FL,COLUMBIA COUNTY,0,729556.74,0
FL,COLUMBIA COUNTY,0,350446.14,0
FL,COLUMBIA COUNTY,0,2135964.6,0
FL,COLUMBIA COUNTY,0,4623.3,0
FL,COLUMBIA COUNTY,0,2469639.6,0
FL,COLUMBIA COUNTY,0,914073.3,0
FL,COLUMBIA COUNTY,0,3042940.5,0
FL,COLUMBIA COUNTY,0,234997.65,0
FL,COLUMBIA COUNTY,0,912600,0
FL,COLUMBIA COUNTY,0,1920744.9,0
FL,COLUMBIA COUNTY,0,455754.6,0
FL,COLUMBIA COUNTY,0,1552693.95,0
FL,COLUMBIA COUNTY,0,8910,0
FL,COLUMBIA COUNTY,0,398968.2,0
FL,COLUMBIA COUNTY,0,4500,0
FL,COLUMBIA COUNTY,0,31071.6,0
FL,COLUMBIA COUNTY,0,4956125.85,0
FL,COLUMBIA COUNTY,0,40500,0
FL,COLUMBIA COUNTY,0,135868.99,0
FL,COLUMBIA COUNTY,0,36784.23,0
FL,COLUMBIA COUNTY,0,1086940.9,0
FL,COLUMBIA COUNTY,0,16767.17,0
FL,COLUMBIA COUNTY,0,1404900,0
FL,COLUMBIA COUNTY,0,4696520.5,0
FL,COLUMBIA COUNTY,0,67892.48,0
FL,COLUMBIA COUNTY,0,86056.32,0
FL,COLUMBIA COUNTY,0,67892.48,0
FL,COLUMBIA COUNTY,0,67892.48,0
FL,COLUMBIA COUNTY,0,86056.32,0
FL,COLUMBIA COUNTY,0,67892.48,0
FL,COLUMBIA COUNTY,0,101009.36,0
FL,COLUMBIA COUNTY,0,67892.48,0
FL,COLUMBIA COUNTY,0,67892.48,0
FL,COLUMBIA COUNTY,0,86056.32,0
FL,COLUMBIA COUNTY,0,86056.32,0
FL,COLUMBIA COUNTY,0,132603.34,0
FL,COLUMBIA COUNTY,0,132603.34,0
FL,COLUMBIA COUNTY,0,91764.15,0
FL,COLUMBIA COUNTY,0,457854.5,0
FL,COLUMBIA COUNTY,0,385480.82,0
FL,ST  JOHNS COUNTY,0,213596.46,0
FL,ST  JOHNS COUNTY,0,1051338.42,0
FL,ST  JOHNS COUNTY,0,6472.62,0
FL,ST  JOHNS COUNTY,0,159041.52,0
FL,ST  JOHNS COUNTY,0,12945.24,0
FL,ST  JOHNS COUNTY,0,29589.12,0
FL,ST  JOHNS COUNTY,0,12945.24,0
FL,ST  JOHNS COUNTY,29061,29061,29061
FL,ST  JOHNS COUNTY,48087,48087,48087
FL,ST  JOHNS COUNTY,128628,128628,128628
FL,ST  JOHNS COUNTY,128628,128628,128628
FL,ST  JOHNS COUNTY,128628,128628,128628
FL,ST  JOHNS COUNTY,4968,4968,4968
FL,ST  JOHNS COUNTY,157005,157005,157005
FL,ST  JOHNS COUNTY,459,459,459
FL,ST  JOHNS COUNTY,459,459,459
FL,ST  JOHNS COUNTY,1062,1062,1062
FL,ST  JOHNS COUNTY,2304,2304,2304
FL,ST  JOHNS COUNTY,1476,1476,1476
FL,NASSAU COUNTY,185040,185040,185040
FL,NASSAU COUNTY,0,11095.92,0
FL,NASSAU COUNTY,0,8321.94,0
FL,NASSAU COUNTY,0,199726.56,0
FL,NASSAU COUNTY,0,118356.48,0
FL,NASSAU COUNTY,0,17568.54,0
FL,NASSAU COUNTY,0,147945.6,0
FL,NASSAU COUNTY,0,724933.44,0
FL,NASSAU COUNTY,0,8284485.6,0
FL,NASSAU COUNTY,438498,438498,0
FL,NASSAU COUNTY,0,99960.9,0
FL,NASSAU COUNTY,0,669692.78,0
FL,NASSAU COUNTY,0,240539.39,0
FL,NASSAU COUNTY,0,331518.28,0
FL,NASSAU COUNTY,0,5919.86,0
FL,NASSAU COUNTY,0,77426.73,0
FL,NASSAU COUNTY,0,765763.8,0
FL,NASSAU COUNTY,0,7532014.45,0
FL,NASSAU COUNTY,0,963962.79,0
FL,NASSAU COUNTY,0,121066.57,0
FL,NASSAU COUNTY,0,70964.84,0
FL,NASSAU COUNTY,0,755749,0
FL,NASSAU COUNTY,0,2162232,0
FL,NASSAU COUNTY,0,615141.68,0
FL,NASSAU COUNTY,0,135000,0
FL,NASSAU COUNTY,0,161748,0
FL,NASSAU COUNTY,0,164484,0
FL,NASSAU COUNTY,0,170532,0
FL,NASSAU COUNTY,0,181980,0
FL,NASSAU COUNTY,0,181980,0
FL,NASSAU COUNTY,0,186012,0
FL,NASSAU COUNTY,0,192348,0
FL,NASSAU COUNTY,0,197604,0
FL,NASSAU COUNTY,0,198468,0
FL,NASSAU COUNTY,0,198612,0
FL,NASSAU COUNTY,0,200052,0
FL,NASSAU COUNTY,0,201276,0
FL,NASSAU COUNTY,0,207324,0
FL,NASSAU COUNTY,0,208836,0
FL,NASSAU COUNTY,0,212436,0
FL,NASSAU COUNTY,0,218052,0
FL,NASSAU COUNTY,0,218412,0
FL,NASSAU COUNTY,0,221076,0
FL,NASSAU COUNTY,0,226764,0
FL,NASSAU COUNTY,0,237132,0
FL,NASSAU COUNTY,0,239652,0
FL,NASSAU COUNTY,0,245052,0
FL,NASSAU COUNTY,0,245052,0
FL,NASSAU COUNTY,0,257868,0
FL,NASSAU COUNTY,0,6381518.4,0
FL,NASSAU COUNTY,0,15390000,0
FL,NASSAU COUNTY,235696.5,235696.5,235696.5
FL,NASSAU COUNTY,18000,18000,18000
FL,NASSAU COUNTY,1772074.8,1772074.8,1772074.8
FL,NASSAU COUNTY,95922,95922,95922
FL,NASSAU COUNTY,20763,20763,20763
FL,NASSAU COUNTY,0,16560000,0
FL,NASSAU COUNTY,0,582759.1,0
FL,NASSAU COUNTY,0,2244.53,0
FL,NASSAU COUNTY,0,196396.18,0
FL,NASSAU COUNTY,0,21500.33,0
FL,NASSAU COUNTY,0,74091.86,0
FL,NASSAU COUNTY,0,86863.23,0
FL,NASSAU COUNTY,0,796134.02,0
FL,NASSAU COUNTY,0,298522.2,0
FL,NASSAU COUNTY,0,23118.64,0
FL,NASSAU COUNTY,0,63407.91,0
FL,NASSAU COUNTY,0,285728.39,0
FL,NASSAU COUNTY,0,9016.27,0
FL,NASSAU COUNTY,0,80915.23,0
FL,NASSAU COUNTY,0,28898.3,0
FL,NASSAU COUNTY,0,1505741.49,0
FL,NASSAU COUNTY,0,53078.59,0
FL,NASSAU COUNTY,0,162952.72,0
FL,NASSAU COUNTY,0,2261249.55,0
FL,NASSAU COUNTY,0,1363101.75,0
FL,NASSAU COUNTY,0,295716.54,0
FL,NASSAU COUNTY,0,392231.24,0
FL,NASSAU COUNTY,0,192917.17,0
FL,NASSAU COUNTY,0,168339.59,0
FL,NASSAU COUNTY,0,316029.52,0
FL,NASSAU COUNTY,0,151505.63,0
FL,NASSAU COUNTY,0,280565.98,0
FL,NASSAU COUNTY,0,460128.2,0
FL,NASSAU COUNTY,0,324000,0
FL,COLUMBIA COUNTY,212850,212850,212850
FL,COLUMBIA COUNTY,135000,135000,135000
FL,COLUMBIA COUNTY,94284,94284,94284
FL,COLUMBIA COUNTY,6300,6300,6300
FL,COLUMBIA COUNTY,1248407.1,1248407.1,0
FL,COLUMBIA COUNTY,0,114170.34,0
FL,COLUMBIA COUNTY,0,498344.66,0
FL,BAKER COUNTY,0,910.22,0
FL,BAKER COUNTY,0,3195.34,0
FL,CLAY COUNTY,0,172157.99,0
FL,CLAY COUNTY,945000,945000,945000
FL,CLAY COUNTY,76500,76500,76500
FL,CLAY COUNTY,76500,76500,76500
FL,CLAY COUNTY,431726.4,431726.4,0
FL,CLAY COUNTY,0,11767.98,0
FL,CLAY COUNTY,0,15981.99,0
FL,CLAY COUNTY,0,35302.09,0
FL,CLAY COUNTY,0,26396.15,0
FL,CLAY COUNTY,0,7536.5,0
FL,CLAY COUNTY,0,13198.07,0
FL,CLAY COUNTY,0,29410.75,0
FL,CLAY COUNTY,0,13198.07,0
FL,CLAY COUNTY,0,25780.36,0
FL,CLAY COUNTY,0,9806.65,0
FL,CLAY COUNTY,0,15992.1,0
FL,CLAY COUNTY,0,9806.65,0
FL,CLAY COUNTY,0,13198.07,0
FL,CLAY COUNTY,0,304842.43,0
FL,CLAY COUNTY,0,13198.07,0
FL,CLAY COUNTY,0,48252.01,0
FL,CLAY COUNTY,0,9806.65,0
FL,CLAY COUNTY,0,9190.86,0
FL,CLAY COUNTY,0,68931.45,0
FL,CLAY COUNTY,0,68931.45,0
FL,CLAY COUNTY,0,27572.58,0
FL,CLAY COUNTY,0,13786.29,0
FL,CLAY COUNTY,0,9190.86,0
FL,CLAY COUNTY,0,102937.63,0
FL,CLAY COUNTY,0,19605.94,0
FL,CLAY COUNTY,0,13198.07,0
FL,CLAY COUNTY,0,9806.65,0
FL,CLAY COUNTY,0,9806.65,0
FL,CLAY COUNTY,0,11764.3,0
FL,CLAY COUNTY,0,7619.22,0
FL,CLAY COUNTY,0,13198.07,0
FL,CLAY COUNTY,0,6433.6,0
FL,CLAY COUNTY,0,6617.42,0
FL,CLAY COUNTY,0,9806.65,0
FL,CLAY COUNTY,0,8712.94,0
FL,CLAY COUNTY,0,301000.66,0
FL,CLAY COUNTY,0,57442.87,0
FL,CLAY COUNTY,0,18381.72,0
FL,CLAY COUNTY,0,3032.98,0
FL,CLAY COUNTY,0,3032.98,0
FL,CLAY COUNTY,0,9007.04,0
FL,CLAY COUNTY,0,18381.72,0
FL,CLAY COUNTY,0,652150.86,0
FL,CLAY COUNTY,0,75824.59,0
FL,CLAY COUNTY,0,91908.6,0
FL,CLAY COUNTY,0,45954.3,0
FL,CLAY COUNTY,0,64336.02,0
FL,CLAY COUNTY,0,234366.92,0
FL,CLAY COUNTY,0,13786.29,0
FL,CLAY COUNTY,0,22977.15,0
FL,CLAY COUNTY,0,18381.72,0
FL,CLAY COUNTY,0,91908.6,0
FL,CLAY COUNTY,0,43840.4,0
FL,CLAY COUNTY,0,38601.61,0
FL,CLAY COUNTY,0,413588.69,0
FL,CLAY COUNTY,0,13786.29,0
FL,CLAY COUNTY,0,22977.15,0
FL,CLAY COUNTY,0,25274.86,0
FL,CLAY COUNTY,0,27572.58,0
FL,CLAY COUNTY,0,137862.9,0
FL,CLAY COUNTY,0,91908.6,0
FL,CLAY COUNTY,0,22977.15,0
FL,CLAY COUNTY,0,27572.58,0
FL,CLAY COUNTY,0,77254.74,0
FL,CLAY COUNTY,0,212887.5,0
FL,CLAY COUNTY,0,653122.95,0
FL,CLAY COUNTY,0,635702.59,0
FL,CLAY COUNTY,0,781465.69,0
FL,CLAY COUNTY,0,638884.47,0
FL,CLAY COUNTY,0,1939500,0
FL,CLAY COUNTY,0,6760449.39,0
FL,CLAY COUNTY,162366.3,162366.3,162366.3
FL,CLAY COUNTY,0,648862.42,0
FL,CLAY COUNTY,0,240578.59,0
FL,CLAY COUNTY,0,13467.17,0
FL,CLAY COUNTY,0,19639.62,0
FL,CLAY COUNTY,0,604316.67,0
FL,CLAY COUNTY,0,171459.48,0
FL,CLAY COUNTY,0,822091.98,0
FL,CLAY COUNTY,0,85444.69,0
FL,CLAY COUNTY,0,26934.33,0
FL,CLAY COUNTY,0,162728.27,0
FL,CLAY COUNTY,0,589356.89,0
FL,CLAY COUNTY,0,13657.95,0
FL,CLAY COUNTY,0,64726.57,0
FL,CLAY COUNTY,0,2603338.04,0
FL,CLAY COUNTY,0,67335.83,0
FL,CLAY COUNTY,0,22445.28,0
FL,CLAY COUNTY,0,31984.52,0
FL,CLAY COUNTY,0,44890.56,0
FL,CLAY COUNTY,0,15341.35,0
FL,CLAY COUNTY,0,1748172.94,0
FL,CLAY COUNTY,0,212051.77,0
FL,CLAY COUNTY,0,238222.96,0
FL,CLAY COUNTY,0,174354.92,0
FL,CLAY COUNTY,0,29086.84,0
FL,CLAY COUNTY,0,49883.51,0
FL,CLAY COUNTY,0,33850.85,0
FL,CLAY COUNTY,0,14204.49,0
FL,CLAY COUNTY,0,60112.94,0
FL,CLAY COUNTY,0,776595.4,0
FL,CLAY COUNTY,0,88434.4,0
FL,CLAY COUNTY,0,61724.52,0
FL,CLAY COUNTY,0,33667.92,0
FL,CLAY COUNTY,0,64275.42,0
FL,BRADFORD COUNTY,216363.6,216363.6,0
FL,BRADFORD COUNTY,0,106317.27,0
FL,BRADFORD COUNTY,0,170207.57,0
FL,NASSAU COUNTY,189999.9,189999.9,0
FL,NASSAU COUNTY,635996.7,635996.7,0
FL,NASSAU COUNTY,1729530,1729530,0
FL,NASSAU COUNTY,0,110218.53,0
FL,NASSAU COUNTY,0,123995.38,0
FL,NASSAU COUNTY,0,13777.78,0
FL,NASSAU COUNTY,0,38954.52,0
FL,NASSAU COUNTY,0,428020.45,0
FL,NASSAU COUNTY,0,38954.52,0
FL,NASSAU COUNTY,0,3505598.5,0
FL,NASSAU COUNTY,0,140160.38,0
FL,NASSAU COUNTY,0,60397.19,0
FL,NASSAU COUNTY,0,1138559.14,0
FL,HAMILTON COUNTY,0,4623.3,0
FL,HAMILTON COUNTY,0,34212.42,0
FL,HAMILTON COUNTY,0,11095.92,0
FL,HAMILTON COUNTY,0,25899.23,0
FL,HAMILTON COUNTY,0,10211.17,0
FL,HAMILTON COUNTY,0,4084.47,0
FL,HAMILTON COUNTY,0,26920.35,0
FL,HAMILTON COUNTY,0,80668.21,0
FL,HAMILTON COUNTY,0,70642.7,0
FL,HAMILTON COUNTY,0,263169.6,0
FL,HAMILTON COUNTY,0,15873.72,0
FL,HAMILTON COUNTY,0,246924.56,0
FL,HAMILTON COUNTY,0,942304.98,0
FL,HAMILTON COUNTY,0,12996.03,0
FL,HAMILTON COUNTY,0,42886.9,0
FL,HAMILTON COUNTY,0,2784.86,0
FL,HAMILTON COUNTY,0,105764.12,0
FL,HAMILTON COUNTY,0,18419.71,0
FL,HAMILTON COUNTY,0,36836.28,0
FL,HAMILTON COUNTY,0,214534.66,0
FL,HAMILTON COUNTY,0,44199.98,0
FL,HAMILTON COUNTY,0,51130.14,0
FL,HAMILTON COUNTY,194537.7,194537.7,0
FL,HAMILTON COUNTY,0,28776.92,0
FL,HAMILTON COUNTY,0,151310.92,0
FL,HAMILTON COUNTY,0,179562.23,0
FL,HAMILTON COUNTY,0,16833.96,0
FL,HAMILTON COUNTY,0,24914.26,0
FL,HAMILTON COUNTY,0,169461.85,0
FL,UNION COUNTY,407520,407520,407520
FL,UNION COUNTY,137160,137160,137160
FL,UNION COUNTY,123300,123300,123300
FL,UNION COUNTY,0,37823.84,0
FL,UNION COUNTY,0,181487.52,0
FL,UNION COUNTY,0,948148.79,0
FL,COLUMBIA COUNTY,585000,585000,585000
FL,COLUMBIA COUNTY,82620,82620,82620
FL,COLUMBIA COUNTY,0,61027.56,0
FL,COLUMBIA COUNTY,0,22500,0
FL,COLUMBIA COUNTY,874801.8,874801.8,0
FL,COLUMBIA COUNTY,504230.4,504230.4,0
FL,COLUMBIA COUNTY,0,67591.02,0
FL,COLUMBIA COUNTY,0,135763.24,0
FL,COLUMBIA COUNTY,702820.8,702820.8,702820.8
FL,COLUMBIA COUNTY,0,129600000,0
FL,COLUMBIA COUNTY,0,67892.48,0
FL,COLUMBIA COUNTY,0,67892.48,0
FL,COLUMBIA COUNTY,0,102221.41,0
FL,COLUMBIA COUNTY,0,105926,0
FL,COLUMBIA COUNTY,0,4542119.64,0
FL,COLUMBIA COUNTY,0,191242.75,0
FL,COLUMBIA COUNTY,0,921352.86,0
FL,COLUMBIA COUNTY,0,35322.13,0
FL,COLUMBIA COUNTY,0,108562.2,0
FL,COLUMBIA COUNTY,0,26195.88,0
FL,COLUMBIA COUNTY,0,101204.64,0
FL,COLUMBIA COUNTY,0,16160.6,0
FL,COLUMBIA COUNTY,0,22781.96,0
FL,COLUMBIA COUNTY,0,114298.09,0
FL,COLUMBIA COUNTY,0,315302.29,0
FL,COLUMBIA COUNTY,0,109954.93,0
FL,COLUMBIA COUNTY,0,180630.62,0
FL,COLUMBIA COUNTY,0,124374.9,0
FL,COLUMBIA COUNTY,0,134464.05,0
FL,COLUMBIA COUNTY,0,496159.61,0
FL,COLUMBIA COUNTY,0,2311064.6,0
FL,COLUMBIA COUNTY,0,72279,0
FL,COLUMBIA COUNTY,0,22356.54,0
FL,COLUMBIA COUNTY,0,16767.17,0
FL,COLUMBIA COUNTY,0,16767.17,0
FL,COLUMBIA COUNTY,0,396814.48,0
FL,COLUMBIA COUNTY,0,167668.04,0
FL,COLUMBIA COUNTY,0,16767.17,0
FL,COLUMBIA COUNTY,0,16767.17,0
FL,COLUMBIA COUNTY,0,22356.54,0
FL,COLUMBIA COUNTY,0,22356.54,0
FL,COLUMBIA COUNTY,0,16767.17,0
FL,COLUMBIA COUNTY,0,16767.17,0
FL,COLUMBIA COUNTY,0,344852.16,0
FL,COLUMBIA COUNTY,0,68970.43,0
FL,COLUMBIA COUNTY,0,91960.58,0
FL,COLUMBIA COUNTY,0,25748.96,0
FL,COLUMBIA COUNTY,0,25105.24,0
FL,COLUMBIA COUNTY,0,38623.44,0
FL,COLUMBIA COUNTY,0,9196.06,0
FL,COLUMBIA COUNTY,0,9196.06,0
FL,COLUMBIA COUNTY,0,38623.44,0
FL,COLUMBIA COUNTY,0,45980.29,0
FL,COLUMBIA COUNTY,0,137940.86,0
FL,COLUMBIA COUNTY,0,27944.98,0
FL,COLUMBIA COUNTY,0,22356.54,0
FL,COLUMBIA COUNTY,0,89423.38,0
FL,COLUMBIA COUNTY,0,16767.17,0
FL,COLUMBIA COUNTY,0,12250.99,0
FL,COLUMBIA COUNTY,0,30686.32,0
FL,COLUMBIA COUNTY,0,59774.37,0
FL,COLUMBIA COUNTY,0,32186.2,0
FL,COLUMBIA COUNTY,0,11549.33,0
FL,BRADFORD COUNTY,2070,2070,2070
FL,BRADFORD COUNTY,0,42481.06,0
FL,MADISON COUNTY,321053.4,321053.4,321053.4
FL,MADISON COUNTY,132651,132651,132651
FL,MADISON COUNTY,23400,23400,23400
FL,MADISON COUNTY,0,0,0
FL,MADISON COUNTY,977330.7,977330.7,0
FL,MADISON COUNTY,0,1222262.42,0
FL,SUWANNEE COUNTY,493833.6,493833.6,493833.6
FL,SUWANNEE COUNTY,305427.6,305427.6,0
FL,SUWANNEE COUNTY,288279,288279,0
FL,SUWANNEE COUNTY,0,910695.68,0
FL,SUWANNEE COUNTY,0,14066.75,0
FL,SUWANNEE COUNTY,0,7571.54,0
FL,SUWANNEE COUNTY,0,702715.18,0
FL,SUWANNEE COUNTY,0,132894.53,0
FL,SUWANNEE COUNTY,0,14066.75,0
FL,SUWANNEE COUNTY,0,113441.57,0
FL,SUWANNEE COUNTY,0,123449.03,0
FL,SUWANNEE COUNTY,0,701414.94,0
FL,BAKER COUNTY,67590,67590,67590
FL,BAKER COUNTY,14670,14670,14670
FL,BAKER COUNTY,0,1449866.88,0
FL,BAKER COUNTY,0,1849.32,0
FL,BAKER COUNTY,0,372637.98,0
FL,BAKER COUNTY,0,211747.14,0
FL,BAKER COUNTY,0,6472.62,0
FL,BAKER COUNTY,2476576.8,2476576.8,0
FL,BAKER COUNTY,0,34713.82,0
FL,BAKER COUNTY,0,17198.19,0
FL,BAKER COUNTY,0,14453.8,0
FL,BAKER COUNTY,0,796867.35,0
FL,BAKER COUNTY,0,1125.2,0
FL,BAKER COUNTY,0,59097.75,0
FL,BAKER COUNTY,0,58547.04,0
FL,BAKER COUNTY,0,2790.13,0
FL,BAKER COUNTY,0,12087.22,0
FL,BAKER COUNTY,0,5324.12,0
FL,BAKER COUNTY,0,1863.44,0
FL,BAKER COUNTY,0,75825.74,0
FL,BAKER COUNTY,0,228.7,0
FL,BAKER COUNTY,0,3210.02,0
FL,BAKER COUNTY,0,5962.65,0
FL,BAKER COUNTY,0,910.22,0
FL,BAKER COUNTY,0,910.22,0
FL,BAKER COUNTY,0,9660.26,0
FL,BAKER COUNTY,0,1585.34,0
FL,BAKER COUNTY,0,11880.48,0
FL,BAKER COUNTY,0,8370.4,0
FL,BAKER COUNTY,0,48183.3,0
FL,BAKER COUNTY,0,2706.89,0
FL,BAKER COUNTY,0,4665.47,0
FL,BAKER COUNTY,0,79587.39,0
FL,BAKER COUNTY,0,19210.75,0
FL,BAKER COUNTY,0,14453.8,0
FL,BAKER COUNTY,0,631.21,0
FL,BAKER COUNTY,0,1209270.9,0
FL,BAKER COUNTY,0,101097.02,0
FL,BAKER COUNTY,0,86949.68,0
FL,BAKER COUNTY,0,403517.2,0
FL,BAKER COUNTY,0,384.21,0
FL,BAKER COUNTY,0,45932.5,0
FL,BAKER COUNTY,0,45932.5,0
FL,BAKER COUNTY,0,45932.5,0
FL,BAKER COUNTY,0,45932.5,0
FL,BAKER COUNTY,0,45932.5,0
FL,BAKER COUNTY,0,45932.5,0
FL,BAKER COUNTY,0,45932.5,0
FL,BAKER COUNTY,0,45932.5,0
FL,BAKER COUNTY,0,45932.5,0
FL,BAKER COUNTY,0,37894.32,0
FL,BAKER COUNTY,0,126314.39,0
FL,BAKER COUNTY,0,114440.68,0
FL,BAKER COUNTY,0,292819.71,0
FL,BAKER COUNTY,0,918650.08,0
FL,BAKER COUNTY,0,172246.89,0
FL,BAKER COUNTY,0,459325.04,0
FL,BAKER COUNTY,0,28707.81,0
FL,BAKER COUNTY,0,38468.47,0
FL,BAKER COUNTY,0,10396.08,0
FL,SUWANNEE COUNTY,2348172,2348172,2348172
FL,SUWANNEE COUNTY,0,43459.02,0
FL,SUWANNEE COUNTY,0,12020.58,0
FL,SUWANNEE COUNTY,63396,63396,63396
FL,SUWANNEE COUNTY,76779,76779,76779
FL,SUWANNEE COUNTY,244701,244701,244701
FL,SUWANNEE COUNTY,20826,20826,20826
FL,SUWANNEE COUNTY,677898,677898,677898
FL,SUWANNEE COUNTY,1216161,1216161,1216161
FL,SUWANNEE COUNTY,2493,2493,2493
FL,SUWANNEE COUNTY,6462,6462,6462
FL,SUWANNEE COUNTY,19890,19890,19890
FL,SUWANNEE COUNTY,94428,94428,94428
FL,SUWANNEE COUNTY,2493,2493,2493
FL,SUWANNEE COUNTY,5967,5967,5967
FL,SUWANNEE COUNTY,18900000,18900000,18900000
FL,SUWANNEE COUNTY,3609198,3609198,3609198
FL,SUWANNEE COUNTY,6649758,6649758,6649758
FL,SUWANNEE COUNTY,75969,75969,75969
FL,SUWANNEE COUNTY,2493,2493,2493
FL,SUWANNEE COUNTY,7461,7461,7461
FL,SUWANNEE COUNTY,198954,198954,198954
FL,SUWANNEE COUNTY,258633,258633,258633
FL,SUWANNEE COUNTY,11520,11520,11520
FL,SUWANNEE COUNTY,38385,38385,38385
FL,SUWANNEE COUNTY,3029976,3029976,3029976
FL,SUWANNEE COUNTY,538857,538857,538857
FL,SUWANNEE COUNTY,1172421,1172421,1172421
FL,SUWANNEE COUNTY,2930220,2930220,2930220
FL,SUWANNEE COUNTY,1978974,1978974,1978974
FL,SUWANNEE COUNTY,1831842,1831842,1831842
FL,SUWANNEE COUNTY,460881,460881,460881
FL,SUWANNEE COUNTY,66132,66132,66132
FL,SUWANNEE COUNTY,66132,66132,66132
FL,SUWANNEE COUNTY,66132,66132,66132
FL,SUWANNEE COUNTY,2493,2493,2493
FL,SUWANNEE COUNTY,24867,24867,24867
FL,SUWANNEE COUNTY,109431,109431,109431
FL,SUWANNEE COUNTY,333243,333243,333243
FL,SUWANNEE COUNTY,1178082,1178082,1178082
FL,SUWANNEE COUNTY,92637,92637,92637
FL,SUWANNEE COUNTY,91314,91314,91314
FL,SUWANNEE COUNTY,29835,29835,29835
